Ticker,Current Price,Option Type,Symbol,Strike Price,Expiration Date,roundup
A, 	40.92 ,CAL,A150619C00035000,35.00,6/19/15,50.00
A, 	40.92 ,CAL,A150619C00037500,37.50,6/19/15,50.00
A, 	40.92 ,CAL,A150619C00040000,40.00,6/19/15,50.00
A, 	40.92 ,CAL,A150619C00042500,42.50,6/19/15,50.00
A, 	40.92 ,CAL,A150619C00045000,45.00,6/19/15,50.00
A, 	40.92 ,CAL,A150619C00047500,47.50,6/19/15,50.00
A, 	40.92 ,PUT,A150619P00035000,35.00,6/19/15,50.00
A, 	40.92 ,PUT,A150619P00037500,37.50,6/19/15,50.00
A, 	40.92 ,PUT,A150619P00040000,40.00,6/19/15,50.00
A, 	40.92 ,PUT,A150619P00042500,42.50,6/19/15,50.00
A, 	40.92 ,PUT,A150619P00045000,45.00,6/19/15,50.00
A, 	40.92 ,PUT,A150619P00047500,47.50,6/19/15,50.00
A, 	40.92 ,CAL,A150717C00035000,35.00,7/17/15,50.00
A, 	40.92 ,CAL,A150717C00037500,37.50,7/17/15,50.00
A, 	40.92 ,CAL,A150717C00040000,40.00,7/17/15,50.00
A, 	40.92 ,CAL,A150717C00042500,42.50,7/17/15,50.00
A, 	40.92 ,CAL,A150717C00045000,45.00,7/17/15,50.00
A, 	40.92 ,CAL,A150717C00047500,47.50,7/17/15,50.00
A, 	40.92 ,PUT,A150717P00035000,35.00,7/17/15,50.00
A, 	40.92 ,PUT,A150717P00037500,37.50,7/17/15,50.00
A, 	40.92 ,PUT,A150717P00040000,40.00,7/17/15,50.00
A, 	40.92 ,PUT,A150717P00042500,42.50,7/17/15,50.00
A, 	40.92 ,PUT,A150717P00045000,45.00,7/17/15,50.00
A, 	40.92 ,PUT,A150717P00047500,47.50,7/17/15,50.00
A, 	40.92 ,CAL,A150821C00035000,35.00,8/21/15,50.00
A, 	40.92 ,CAL,A150821C00037500,37.50,8/21/15,50.00
A, 	40.92 ,CAL,A150821C00040000,40.00,8/21/15,50.00
A, 	40.92 ,CAL,A150821C00042500,42.50,8/21/15,50.00
A, 	40.92 ,CAL,A150821C00045000,45.00,8/21/15,50.00
A, 	40.92 ,CAL,A150821C00047500,47.50,8/21/15,50.00
A, 	40.92 ,PUT,A150821P00035000,35.00,8/21/15,50.00
A, 	40.92 ,PUT,A150821P00037500,37.50,8/21/15,50.00
A, 	40.92 ,PUT,A150821P00040000,40.00,8/21/15,50.00
A, 	40.92 ,PUT,A150821P00042500,42.50,8/21/15,50.00
A, 	40.92 ,PUT,A150821P00045000,45.00,8/21/15,50.00
A, 	40.92 ,PUT,A150821P00047500,47.50,8/21/15,50.00
AA, 	12.42 ,CAL,AA150619C00011500,11.50,6/19/15,20.00
AA, 	12.42 ,CAL,AA150619C00012000,12.00,6/19/15,20.00
AA, 	12.42 ,CAL,AA150619C00012500,12.50,6/19/15,20.00
AA, 	12.42 ,CAL,AA150619C00013000,13.00,6/19/15,20.00
AA, 	12.42 ,CAL,AA150619C00013500,13.50,6/19/15,20.00
AA, 	12.42 ,PUT,AA150619P00011500,11.50,6/19/15,20.00
AA, 	12.42 ,PUT,AA150619P00012000,12.00,6/19/15,20.00
AA, 	12.42 ,PUT,AA150619P00012500,12.50,6/19/15,20.00
AA, 	12.42 ,PUT,AA150619P00013000,13.00,6/19/15,20.00
AA, 	12.42 ,PUT,AA150619P00013500,13.50,6/19/15,20.00
AA, 	12.42 ,CAL,AA150717C00010000,10.00,7/17/15,20.00
AA, 	12.42 ,CAL,AA150717C00011000,11.00,7/17/15,20.00
AA, 	12.42 ,CAL,AA150717C00012000,12.00,7/17/15,20.00
AA, 	12.42 ,CAL,AA150717C00013000,13.00,7/17/15,20.00
AA, 	12.42 ,CAL,AA150717C00014000,14.00,7/17/15,20.00
AA, 	12.42 ,CAL,AA150717C00015000,15.00,7/17/15,20.00
